"SYMBOL" "ENTREZID"
"MFSD4A" "148808"
"CT45A5" "441521"
"ATF3" "467"
"ZNF711" "7552"
"PRDM2" "7799"
"SLC25A3P1" "163742"
"SYNC" "81493"
"PTBP2" "58155"
"CHIAP2" "149620"
"VANGL1" "81839"
"PLEKHG5" "57449"
"PDE4B" "5142"
"LOC388692" "388692"
"SPRR4" "163778"
"PUSL1" "126789"
"LOC284578" "284578"
"KLHL4" "56062"
"SYTL4" "94121"
"DEGS1" "8560"
"MIR190B" "100126346"
"PIK3R3" "8503"
"TBL1Y" "90665"
"ZBED6" "100381270"
"BEX3" "27018"
"INE1" "8552"
"DLEU2L" "79469"
"FCN3" "8547"
"REPS2" "9185"
"COLGALT2" "23127"
"C1orf74" "148304"
"PDZD4" "57595"
"UBE2U" "148581"
"ZCCHC12" "170261"
"HMCN1" "83872"
"GSTM4" "2948"
"PHLDA3" "23612"
"SPOCD1" "90853"
"POGZ" "23126"
"ZBTB17" "7709"
"NKRF" "55922"
"TTTY22" "252954"
"OR2T1" "26696"
"TMEM54" "113452"
"LPGAT1" "9926"
"FLG2" "388698"
"CHRNB2" "1141"
"TMEM53" "79639"
"ZC3H12B" "340554"
"PCSK1N" "27344"
"RBM3" "5935"
"UPRT" "139596"
"FAM213B" "127281"
"ELF4" "2000"
"TEX46" "729059"
"SKI" "6497"
"IFI44" "10561"
"VCAM1" "7412"
"RPS10P7" "376693"
"ARHGEF9" "23229"
"STMN1" "3925"
"PRR32" "100130613"
"RAP1GAP" "5909"
"CSF3R" "1441"
"MIA3" "375056"
"CNR2" "1269"
"EIF1AY" "9086"
"TRIM45" "80263"
"WNK3" "65267"
"NPR1" "4881"
"PIH1D3" "139212"
"PLA2G2E" "30814"
"C1orf94" "84970"
"COG2" "22796"
"TSPAN2" "10100"
"OR6P1" "128366"
"HIVEP3" "59269"
"SLC35F3" "148641"
"FHAD1" "114827"
"GPR161" "23432"
"NDUFB11" "54539"
"SCML1" "6322"
"PALMD" "54873"
"AIM2" "9447"
"NEK2" "4751"
"CACHD1" "57685"
"OR10Z1" "128368"
"NBL1" "4681"
"SEMA4A" "64218"
"MAGEC1" "9947"
"SSX8" "280659"
"CCDC17" "149483"
"DGAT2L6" "347516"
"C2CD4D" "100191040"
"DUSP21" "63904"
"TLR8-AS1" "349408"
"ZP4" "57829"
"FMN2" "56776"
"RBBP7" "5931"
"SPEN" "23013"
"PJA1" "64219"
"AGO4" "192670"
"PLA2G2D" "26279"
"CDX4" "1046"
"RHD" "6007"
"KCNT2" "343450"
"BMP8B" "656"
"ARMCX2" "9823"
"SRPX" "8406"
"PSMB2" "5690"
"USP11" "8237"
"SLC44A5" "204962"
"DHRS3" "9249"
"NUP62CL" "54830"
"LINC00630" "100287765"
"HSPA7" "3311"
"DDX53" "168400"
"FCMR" "9214"
"BCL9" "607"
"GAGE2C" "2574"
"HIST2H2BF" "440689"
"SSX3" "10214"
"UBA1" "7317"
"HSD3B2" "3284"
"PFDN2" "5202"
"G0S2" "50486"
"MNDA" "4332"
"PLPPR5" "163404"
"NLGN4Y" "22829"
"MAGEA10" "4109"
"MTMR9LP" "339483"
"SPIN2A" "54466"
"MAGIX" "79917"
"CRYBG2" "55057"
"SLC38A5" "92745"
"XRCC6P5" "442459"
"LGALS8-AS1" "100287902"
"ASB11" "140456"
"LINC01139" "339535"
"SMYD2" "56950"
"LINC00891" "441501"
"COA6" "388753"
"SLC25A43" "203427"
"ZFY" "7544"
"OR2T12" "127064"
"TNR" "7143"
"B3GALT2" "8707"
"TNFRSF1B" "7133"
"TMEM88B" "643965"
"C1orf185" "284546"
"CAPN6" "827"

